,SUBST,PRON,VERB,ADJ,ART,PREP,UNC,ADV,CONJ,INTERJ
up,0.0,0.0,0.0005202913631633715,0.0,0.0,0.03173777315296566,0.0,0.967741935483871,0.0,0.0
out,0.0,0.0,0.0,0.0,0.0,0.0036458333333333334,0.0,0.9963541666666667,0.0,0.0
were,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0.005241090146750524,0.0,0.0020964360587002098,0.0,0.7625786163522013,0.005765199161425576,0.0,0.055031446540880505,0.0,0.16928721174004194
been,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
who,0.005854177754124534,0.9941458222458754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
would,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
some,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
them,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
into,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
me,0.0013227513227513227,0.9986772486772487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time,0.9932614555256065,0.0,0.006738544474393531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
like,0.0027100271002710027,0.0,0.21070460704607047,0.012195121951219513,0.0,0.755420054200542,0.0,0.0013550135501355014,0.017615176151761516,0.0
then,0.0,0.0,0.0,0.004081632653061225,0.0,0.0,0.0,0.9959183673469387,0.0,0.0
may,0.0565345080763583,0.0,0.9434654919236417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
could,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
its,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
only,0.0,0.0,0.0,0.1165783497350492,0.0,0.0,0.0,0.8834216502649508,0.0,0.0
other,0.19357306809487376,0.0,0.0,0.8064269319051263,0.0,0.0,0.0,0.0,0.0,0.0
work,0.7458823529411764,0.0,0.2541176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
than,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
him,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
now,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991408934707904,0.000859106529209622,0.0
how,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
any,0.0,0.0,0.0,0.9782419495213229,0.0,0.0,0.0,0.02175805047867711,0.0,0.0
also,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
people,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well,0.0,0.0,0.0,0.03133640552995392,0.0,0.0,0.0,0.9686635944700461,0.0,0.0
very,0.0,0.0,0.0,0.07282913165266107,0.0,0.0,0.0,0.927170868347339,0.0,0.0
should,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
back,0.24761904761904763,0.0,0.009523809523809525,0.017142857142857144,0.0,0.0,0.0,0.7257142857142858,0.0,0.0
these,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
just,0.0,0.0,0.0,0.01440922190201729,0.0,0.0,0.0,0.9855907780979827,0.0,0.0
over,0.0,0.0,0.0,0.0,0.0,0.5370548604427334,0.0,0.4629451395572666,0.0,0.0
first,0.0009718172983479105,0.0,0.0,0.9990281827016521,0.0,0.0,0.0,0.0,0.0,0.0
wrote,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
such,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
two,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
did,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
even,0.0,0.0,0.0,0.0040858018386108275,0.0,0.0,0.0,0.9959141981613892,0.0,0.0
most,0.0,0.0,0.0,0.4316702819956616,0.0,0.0,0.0,0.5683297180043384,0.0,0.0
down,0.008724100327153763,0.0,0.0,0.014176663031624863,0.0,0.09596510359869138,0.0,0.88113413304253,0.0,0.0
after,0.0,0.0,0.0,0.0,0.0,0.8168859649122807,0.0,0.007675438596491228,0.17543859649122806,0.0
make,0.005537098560354375,0.0,0.9944629014396457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
where,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5524553571428571,0.44754464285714285,0.0
way,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
see,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
know,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
too,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
new,0.10726643598615918,0.0,0.0,0.8927335640138409,0.0,0.0,0.0,0.0,0.0,0.0
much,0.0,0.0,0.0,0.5624256837098692,0.0,0.0,0.0,0.43757431629013077,0.0,0.0
many,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
our,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
good,0.03504380475594493,0.0,0.0,0.9649561952440551,0.0,0.0,0.0,0.0,0.0,0.0
get,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
made,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
must,0.002544529262086514,0.0,0.9974554707379135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
because,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
world,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
being,0.03501945525291829,0.0,0.9649805447470817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
between,0.0,0.0,0.0,0.0,0.0,0.9972972972972973,0.0,0.002702702702702703,0.0,0.0
before,0.0,0.0,0.0,0.0,0.0,0.4490358126721763,0.0,0.174931129476584,0.3760330578512397,0.0
those,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
through,0.0,0.0,0.0,0.001402524544179523,0.0,0.8737727910238429,0.0,0.12482468443197756,0.0,0.0
go,0.025423728813559324,0.0,0.9745762711864406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
own,0.0,0.0,0.01729106628242075,0.9827089337175793,0.0,0.0,0.0,0.0,0.0,0.0
years,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
think,0.007320644216691069,0.0,0.9926793557833089,0.0,0.0,0.0,0.0,0.0,0.0,0.0
off,0.0,0.0,0.0,0.0029985007496251873,0.0,0.25487256371814093,0.0,0.7421289355322339,0.0,0.0
never,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
art,0.9891472868217054,0.0,0.009302325581395349,0.0,0.0,0.0,0.0015503875968992248,0.0,0.0,0.0
here,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
always,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
take,0.003129890453834116,0.0,0.9968701095461658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
still,0.0,0.0,0.0,0.047021943573667714,0.0,0.0,0.0,0.9529780564263323,0.0,0.0
little,0.014106583072100314,0.0,0.0,0.7398119122257053,0.0,0.0,0.0,0.24608150470219436,0.0,0.0
both,0.0,0.0,0.0,0.41996830427892234,0.0,0.0,0.0,0.5800316957210776,0.0,0.0
need,0.2384,0.0,0.7616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
life,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jay,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us,0.037337662337662336,0.9626623376623377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
does,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
say,0.011437908496732025,0.0,0.988562091503268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
another,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
man,0.9982964224872232,0.0,0.0017035775127768314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
come,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lucy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right,0.21972318339100347,0.0,0.0,0.45674740484429066,0.0,0.0,0.0,0.3235294117647059,0.0,0.0
use,0.4295652173913043,0.0,0.5704347826086956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
again,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
though,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1190893169877408,0.8809106830122592,0.0
thought,0.3067375886524823,0.0,0.6932624113475178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
each,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
long,0.0,0.0,0.005434782608695652,0.5869565217391305,0.0,0.0,0.0,0.4076086956521739,0.0,0.0
day,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
going,0.0018281535648994515,0.0,0.9963436928702011,0.0018281535648994515,0.0,0.0,0.0,0.0,0.0,0.0
something,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
look,0.18864468864468864,0.0,0.8113553113553114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
place,0.9205175600739371,0.0,0.07948243992606285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
help,0.40671641791044777,0.0,0.5932835820895522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
home,0.7017543859649122,0.0,0.003898635477582846,0.0,0.0,0.0,0.0,0.29434697855750486,0.0,0.0
why,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
might,0.011764705882352941,0.0,0.9882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
while,0.15324165029469547,0.0,0.0019646365422396855,0.0,0.0,0.0,0.0,0.0,0.8447937131630648,0.0
year,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
however,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
same,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
without,0.0,0.0,0.0,0.0,0.0,0.9940476190476191,0.0,0.005952380952380952,0.0,0.0
last,0.0020325203252032522,0.0,0.05894308943089431,0.9390243902439024,0.0,0.0,0.0,0.0,0.0,0.0
often,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
part,0.9959016393442623,0.0,0.004098360655737705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
're,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
police,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
find,0.0020833333333333333,0.0,0.9979166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
away,0.0,0.0,0.0,0.008403361344537815,0.0,0.0,0.0,0.9915966386554622,0.0,0.0
used,0.0,0.0,0.9157894736842105,0.08421052631578947,0.0,0.0,0.0,0.0,0.0,0.0
under,0.0,0.0,0.0,0.0,0.0,0.9639830508474576,0.0,0.036016949152542374,0.0,0.0
old,0.006382978723404255,0.0,0.0,0.9936170212765958,0.0,0.0,0.0,0.0,0.0,0.0
want,0.004310344827586207,0.0,0.9956896551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
went,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
've,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
against,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
three,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
give,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mind,0.811529933481153,0.0,0.188470066518847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'm,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
few,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
left,0.05251141552511415,0.0,0.728310502283105,0.2100456621004566,0.0,0.0,0.0,0.0091324200913242,0.0,0.0
put,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
course,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
',0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
end,0.8761682242990654,0.0,0.12383177570093458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
different,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
things,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
face,0.7907542579075426,0.0,0.20924574209245742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
young,0.06601466992665037,0.0,0.0,0.9339853300733496,0.0,0.0,0.0,0.0,0.0,0.0
best,0.0,0.0,0.0,0.803921568627451,0.0,0.0,0.0,0.19607843137254902,0.0,0.0
perhaps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
local,0.014778325123152709,0.0,0.0,0.9852216748768473,0.0,0.0,0.0,0.0,0.0,0.0
room,0.9950738916256158,0.0,0.0049261083743842365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
every,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
training,0.9454094292803971,0.0,0.05459057071960298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
found,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
once,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7381546134663342,0.26184538653366585,0.0
important,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
glass,0.9975,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
came,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
great,0.030848329048843187,0.0,0.0,0.9691516709511568,0.0,0.0,0.0,0.0,0.0,0.0
book,0.9948586118251928,0.0,0.005141388174807198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
state,0.9201030927835051,0.0,0.07989690721649484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
around,0.0,0.0,0.0,0.0,0.0,0.537467700258398,0.0,0.4625322997416021,0.0,0.0
london,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
point,0.9067357512953368,0.0,0.09326424870466321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
really,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hand,0.9896103896103896,0.0,0.01038961038961039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
during,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
set,0.2440318302387268,0.0,0.7320954907161804,0.023872679045092837,0.0,0.0,0.0,0.0,0.0,0.0
system,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
family,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
head,0.896,0.0,0.02666666666666667,0.07733333333333334,0.0,0.0,0.0,0.0,0.0,0.0
possible,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nothing,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
love,0.6819407008086253,0.0,0.31805929919137466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enough,0.0,0.0,0.0,0.23243243243243245,0.0,0.0,0.0,0.7675675675675676,0.0,0.0
experience,0.8864864864864865,0.0,0.11351351351351352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
until,0.0,0.0,0.0,0.0,0.0,0.23224043715846995,0.0,0.0,0.76775956284153,0.0
'll,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
next,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
got,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
able,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
far,0.0,0.0,0.0,0.1694915254237288,0.0,0.0,0.0,0.8305084745762712,0.0,0.0
thing,0.997134670487106,0.0028653295128939827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
less,0.0,0.0,0.0,0.2614942528735632,0.0,0.005747126436781609,0.0,0.7327586206896551,0.0,0.0
since,0.0,0.0,0.0,0.0,0.0,0.31213872832369943,0.0,0.0838150289017341,0.6040462427745664,0.0
least,0.0,0.0,0.0,0.02601156069364162,0.0,0.0,0.0,0.9739884393063584,0.0,0.0
himself,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leonard,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
better,0.0029154518950437317,0.0,0.0029154518950437317,0.6501457725947521,0.0,0.0,0.0,0.34402332361516036,0.0,0.0
am,0.0,0.0,0.9941520467836257,0.0,0.0,0.0,0.0,0.005847953216374269,0.0,0.0
small,0.008823529411764706,0.0,0.0,0.9911764705882353,0.0,0.0,0.0,0.0,0.0,0.0
school,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high,0.011834319526627219,0.0,0.0,0.9556213017751479,0.0,0.0,0.0,0.03254437869822485,0.0,0.0
quite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
looked,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
information,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asked,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
form,0.797583081570997,0.0,0.20241691842900303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
church,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
house,0.9818181818181818,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,0.0,0.0,0.0,0.9848024316109423,0.0,0.0,0.0,0.015197568389057751,0.0,0.0
feel,0.04559270516717325,0.0,0.9544072948328267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
early,0.0,0.0,0.0,0.7689969604863222,0.0,0.0,0.0,0.23100303951367782,0.0,0.0
making,0.057750759878419454,0.0,0.9422492401215805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catholic,0.02147239263803681,0.0,0.0,0.9785276073619632,0.0,0.0,0.0,0.0,0.0,0.0
further,0.0,0.0,0.012269938650306749,0.6411042944785276,0.0,0.0,0.0,0.34662576687116564,0.0,0.0
yet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
children,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eyes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
care,0.8291925465838509,0.0,0.17080745341614906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turn,0.43167701863354035,0.0,0.5683229813664596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seen,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
done,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glider,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
keep,0.006269592476489028,0.0,0.9937304075235109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
side,0.9968652037617555,0.0,0.003134796238244514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
men,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
let,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tell,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
available,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
round,0.07096774193548387,0.0,0.00967741935483871,0.0935483870967742,0.0,0.4806451612903226,0.0,0.34516129032258064,0.0,0.0
problem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sense,0.9642857142857143,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
together,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
took,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
example,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
light,0.6013289036544851,0.0,0.036544850498338874,0.36212624584717606,0.0,0.0,0.0,0.0,0.0,0.0
number,0.9966666666666667,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
try,0.013468013468013467,0.0,0.9865319865319865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
front,0.5033783783783784,0.0,0.0033783783783783786,0.49324324324324326,0.0,0.0,0.0,0.0,0.0,0.0
sure,0.0,0.0,0.0,0.9898648648648649,0.0,0.0,0.0,0.010135135135135136,0.0,0.0
having,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
within,0.0,0.0,0.0,0.0,0.0,0.9254237288135593,0.0,0.07457627118644068,0.0,0.0
opponent,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
body,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
later,0.0,0.0,0.0,0.2103448275862069,0.0,0.0,0.0,0.7896551724137931,0.0,0.0
women,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whole,0.2975778546712803,0.0,0.0,0.7024221453287197,0.0,0.0,0.0,0.0,0.0,0.0
person,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
already,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
